# dimension = 2
# nrOfCluster | Time | Size | Radius 
289	17	39	5	
290	4	6	2	
291	3	3	1	
292	5	6	3	
293	25	89	11	
294	4	5	2	
295	127	747	38	
296	11	14	4	
297	8	35	4	
298	2	2	1	
299	1	1	0	
300	15	56	6	
301	95	976	34	
302	5	5	2	
303	10	17	5	
304	12	33	6	
305	6	7	3	
306	140	539	31	
307	1	1	0	
308	30	64	11	
309	10	21	4	
310	193	2584	35	
311	45	201	16	
312	4	5	2	
313	6	7	2	
314	52	174	15	
315	5	6	2	
316	97	527	29	
317	2	2	1	
318	13	72	5	
319	10	14	5	
320	8	10	2	
321	5	10	2	
322	1	1	0	
323	1	1	0	
324	15	71	7	
325	66	488	27	
326	32	77	10	
327	11	26	6	
328	3	6	2	
329	18	31	7	
330	1	1	0	
331	67	440	22	
332	6	6	2	
333	22	28	7	
334	104	1092	33	
335	35	204	14	
336	2	2	1	
337	1	1	0	
338	8	12	3	
339	42	196	17	
340	123	700	23	
341	13	20	2	
342	15	58	7	
343	187	893	40	
344	4	5	1	
345	71	157	14	
346	32	152	9	
347	7	9	2	
348	11	18	4	
349	85	227	17	
350	74	393	22	
351	4	5	2	
352	4	4	1	
353	29	61	11	
354	7	13	3	
355	133	623	36	
356	1	1	0	
357	18	42	9	
358	2	2	1	
359	11	12	5	
360	53	157	16	
361	2	2	1	
362	14	40	6	
363	10	22	6	
364	27	71	12	
365	9	33	4	
366	13	49	5	
367	73	402	21	
368	8	11	3	
369	10	15	2	
370	165	1566	41	
371	1	1	0	
372	38	132	12	
373	31	87	11	
374	7	8	2	
375	38	111	15	
376	1	1	0	
377	148	1103	45	
378	4	6	2	
379	49	163	18	
380	62	207	19	
381	1	1	0	
382	2	2	1	
383	40	89	10	
384	46	189	14	
385	16	20	7	
386	4	4	1	
387	1	1	0	
388	5	5	4	
389	1	1	0	
390	11	17	4	
391	3	3	1	
392	22	54	8	
393	1	1	0	
394	23	44	6	
395	6	7	3	
396	75	476	15	
397	4	4	1	
398	7	9	4	
399	1	1	0	
400	4	4	3	
401	9	15	4	
402	20	36	7	
403	17	34	6	
404	53	273	14	
405	6	10	2	
406	17	53	9	
407	136	1403	25	
408	207	1999	38	
409	9	13	3	
410	3	5	1	
411	156	3177	36	
412	13	30	4	
413	6	6	2	
414	139	501	28	
415	2	2	1	
416	1	1	0	
417	3	3	1	
418	10	17	4	
419	11	34	5	
420	22	49	7	
421	44	121	7	
422	55	170	13	
423	53	185	18	
424	118	1349	26	
425	2	3	1	
426	23	54	11	
427	117	582	27	
428	2	2	1	
429	3	3	2	
430	12	18	3	
431	1	1	0	
432	2	2	1	
433	1	1	0	
434	55	154	14	
435	9	14	4	
436	7	10	4	
437	2	2	1	
438	68	328	19	
439	18	88	8	
440	1	1	0	
441	237	2603	40	
442	52	267	20	
443	7	11	3	
444	1	1	0	
445	1	1	0	
446	73	964	26	
447	68	270	22	
448	3	4	1	
449	3	3	1	
450	37	138	14	
451	22	53	8	
452	3	4	1	
453	2	2	1	
454	33	87	13	
455	6	10	2	
456	23	71	9	
457	30	82	11	
458	9	25	4	
459	6	9	3	
460	18	38	8	
461	4	4	1	
462	7	11	3	
463	2	3	1	
464	3	3	2	
465	77	278	22	
466	34	151	11	
467	1	1	0	
468	11	27	5	
469	1	1	0	
470	15	32	7	
471	22	45	7	
472	3	5	2	
473	5	6	3	
474	87	519	28	
475	30	169	9	
476	9	18	5	
477	27	104	8	
478	18	44	7	
479	17	31	6	
480	1	1	0	
481	16	33	9	
482	220	1258	34	
483	1	1	0	
484	2	2	1	
485	3	5	2	
486	60	339	27	
487	17	79	6	
488	116	407	40	
489	93	475	22	
490	2	3	1	
491	1	1	0	
492	2	4	1	
493	2	2	1	
494	97	373	32	
495	9	19	4	
496	4	4	3	
497	6	7	3	
498	1	1	0	
499	43	263	14	
500	54	261	16	
501	30	125	10	
502	2	2	1	
503	56	187	20	
504	68	196	16	
505	74	737	33	
506	1	1	0	
507	79	660	26	
508	55	150	16	
509	35	195	15	
510	1	1	0	
511	53	273	18	
512	1	1	0	
513	2	2	1	
514	44	91	12	
515	2	3	1	
516	5	6	2	
517	2	2	1	
518	149	963	31	
519	62	244	24	
520	116	898	22	
521	1	1	0	
522	1	1	0	
523	15	69	8	
524	1	1	0	
525	74	262	25	
526	6	11	3	
527	187	1065	38	
528	8	14	4	
529	81	268	20	
530	25	40	9	
531	7	7	3	
532	3	5	2	
533	8	16	5	
534	1	1	0	
535	1	1	0	
536	214	3329	40	
537	98	229	23	
538	184	1255	47	
539	3	3	2	
540	5	7	2	
541	152	1749	28	
542	25	61	8	
543	164	2051	32	
